time,seconds_elapsed,z,y,x
1744864311267715800,0.0567158203125,-0.07070764899253845,-0.2505311071872711,0.7312057018280029
1744864311301694200,0.090694091796875,-0.08964447677135468,-0.6023895144462585,0.6230825781822205
1744864311311699200,0.10069921875,-0.08048149943351746,-0.5614615082740784,0.6243042945861816
1744864311321711000,0.110711181640625,-0.052381694316864014,-0.5284748077392578,0.636521577835083
1744864311331716400,0.12071630859375,-0.011453723534941673,-0.5706244707107544,0.6530149579048157
1744864311341720800,0.130720947265625,0.03375030308961868,-0.7404450178146362,0.6829473376274109
1744864311351724800,0.140724853515625,0.06612616032361984,-0.9847911596298218,0.7079927921295166
1744864311361733400,0.1507333984375,0.05451972410082817,-1.1564443111419678,0.7281513810157776
1744864311371736300,0.160736328125,0.01114829070866108,-1.1613311767578125,0.7525860071182251
1744864311381739000,0.170739013671875,-0.04932736977934837,-1.0000628232955933,0.788627028465271
1744864311391741400,0.180741455078125,-0.11163562536239624,-0.7954229116439819,0.8313875794410706
1744864311401744000,0.190743896484375,-0.15745051205158234,-0.7117343544960022,0.8625417351722717
1744864311411745800,0.200745849609375,-0.1690569519996643,-0.7245625257492065,0.8814785480499268
1744864311431749600,0.22074951171875,-0.09086620807647705,-0.7508297562599182,0.8607091307640076
1744864311441751300,0.230751220703125,-0.043218716979026794,-0.7728208899497986,0.8051204085350037
1744864311451753000,0.2407529296875,0.003817907767370343,-0.8357400298118591,0.7281513810157776
1744864311461754400,0.25075439453125,0.03741549700498581,-0.824744462966919,0.6389650702476501
1744864311471755800,0.260755859375,0.044135015457868576,-0.730060338973999,0.578489363193512
1744864311481757000,0.2707568359375,0.030695978552103043,-0.6579782366752625,0.5595525503158569
1744864311491758300,0.28075830078125,-0.0010690141934901476,-0.6610325574874878,0.5583308339118958
1744864311501759500,0.290759521484375,-0.02428189292550087,-0.6946301460266113,0.5534439086914062
1744864311511760600,0.3007607421875,-0.016340645030140877,-0.7062366008758545,0.5607742667198181
1744864311521761800,0.31076171875,0.019089538604021072,-0.6280458569526672,0.5931501388549805
1744864311531763000,0.320762939453125,0.07467827945947647,-0.49609893560409546,0.626747727394104
1744864311541763800,0.330763916015625,0.128434419631958,-0.39530616998672485,0.6701191663742065
1744864311551765000,0.340764892578125,0.14737124741077423,-0.3610977232456207,0.7281513810157776
1744864311561766000,0.350765869140625,0.15225815773010254,-0.35926511883735657,0.7904596328735352
1744864311571766800,0.360766845703125,0.17669276893138885,-0.2566397488117218,0.837496280670166
1744864311581767700,0.370767578125,0.2194533348083496,-0.10025826096534729,0.8497135639190674
1744864311591767800,0.380767822265625,0.2616030275821686,-0.00007635815563844517,0.8509352803230286
